Title,Price,Link,Description,Main image
Cica Gomez Large bowl,1,https://yonobi.com//collections/all-products/products/ceramic-bowl-handmade-by-cicagomez-yonobi,"This large bowl or 'Grande Coupelle’.A beautiful, unique bowl on foot handmade by French artist Cica Gomez. The bowl is unique in shape and color. Cica Gomez is a ceramic artist from Lyon, France. Her work is initially driven by the search for the line. The one that takes shape when the object takes shape and is placed in space. The one that delimits a pictorial territory. Each piece results from research work, allowing Cica to create a range of colors, which she gets by combinations and playing with the diversity of metal oxides. The result is a unique mix of straight minimalistic shapes and exciting and highly detailed glazes. This product is certified as safe for use with food.Measurements:H 7 x 19,5 cm Materials: Enamelled porcelain. Share",//yonobi.com/cdn/shop/files/IMG_3747.jpg?v=1702640921
Pauline Boisaubert Bowl - ekstra small black,275,https://yonobi.com//collections/all-products/products/bowl-ekstra-small-black,"Beautiful bowl - handmade by Pauline Boisaubert.Whether in everyday objects or in more sculptural pieces, Pauline Boisaubert is sensitive to the work of form and texture.Pauline works with chamotte sandstone to create decorative and utilitarian pieces with minimalist lines, which highlight the raw material. They are made by hand, on a potter's wheel, or through the modeling technique in his Parisian workshop. Measurements: H: 3,5cm Ø: 10cm Share",//yonobi.com/cdn/shop/files/IMG_6556.jpg?v=1689787689
Pauline Boisaubert Bowl - ekstra small white,275,https://yonobi.com//collections/all-products/products/bowl-ekstra-small-white,"Beautiful bowl - handmade by Pauline Boisaubert.Whether in everyday objects or more sculptural pieces, Pauline Boisaubert is sensitive to the work of form and texture.Pauline works with chamotte sandstone to create decorative and utilitarian pieces with minimalist lines, which highlight the raw material. They are entirely made by hand, on a potter's wheel, or through the technique of modeling in her Parisian workshop. Measurements: H: 3,5cm Ø: 10cmShare",//yonobi.com/cdn/shop/files/IMG_6549.jpg?v=1689787796
Pauline Boisaubert Bowl - large black,1.2,https://yonobi.com//collections/all-products/products/bowl-large-black,"Beautiful large serving bowl handmade by Pauline Boisaubert.Whether in everyday objects or in more sculptural pieces, Pauline Boisaubert is sensitive to the work of form and texture.Pauline works with chamotte sandstone to create decorative and utilitarian pieces with minimalist lines, which highlight the raw material. They are entirely made by hand, on a potter's wheel, or through the technique of modeling in his Parisian workshop. Measurements: H: 7cm Ø: 27cmShare",//yonobi.com/cdn/shop/files/IMG_6584.jpg?v=1689787656
Pauline Boisaubert Bowl - medium white,800,https://yonobi.com//collections/all-products/products/bowl-medium-white,"Beautiful bowl handmade by Pauline Boisaubert.Whether in everyday objects or in more sculptural pieces, Pauline Boisaubert is sensitive to the work of form and texture.Pauline works with chamotte sandstone to create decorative and utilitarian pieces with minimalist lines, which highlight the raw material. They are entirely made by hand, on a potter's wheel, or through the technique of modeling in his Parisian workshop. Measurements: H: 6cm Ø: 22cmShare",//yonobi.com/cdn/shop/files/IMG_6598.jpg?v=1689787803
Pauline Boisaubert Bowl - small white,375,https://yonobi.com//collections/all-products/products/bowl-small-white,"Beautiful bowl handmade by Pauline Boisaubert.Whether in everyday objects or in more sculptural pieces, Pauline Boisaubert is sensitive to the work of form and texture.Pauline works with chamotte sandstone to create decorative and utilitarian pieces with minimalist lines, which highlight the raw material. They are entirely made by hand, on a potter's wheel, or through the technique of modeling in his Parisian workshop.Measurements: H: 4cm Ø: 15cmShare",//yonobi.com/cdn/shop/products/image_aad6cf74-bf88-4987-88c8-b3f9fbd34854.jpg?v=1654085275
YONOBI classes One-day Day pottery wheel class - CPH,600,https://yonobi.com//collections/all-products/products/one-day-pottery-wheel-class,"Location: YŌNOBI STUDIO, Nybrogade 28 Time: 10.00 to 14.00Length: 4 hours per classIncluded: all materials and firing/glazing of up to 2 items. Organic Tea & coffee.Language: Danish, EnglishLevel: BeginnerStep into our one-day workshop and immerse yourself in the art of wheel-throwing. Discover the fascinating journey from soft clay to finished ceramics as you explore various techniques, including centering, pottery wheel throwing, and trimming.Whether you're a complete beginner or have some experience, this workshop is designed for everyone. After the workshop, your creations will undergo firing and glazing, transforming them into unique pieces ready to adorn your home. Join us for a day of creativity and hands-on learning – your journey into pottery awaits! Share",//yonobi.com/cdn/shop/files/f218dc26-8472-412d-b7bc-e88aa0d4e864-yonobistudio_005_62774106-46b2-4f37-a5cf-e1e4f3a92e6c.jpg?v=1718714205
Soyoung Hyun Unique Porcelain Mug,510,https://yonobi.com//collections/all-products/products/copy-of-copy-of-unique-porcelain-mug-mangler-pris,"Unique porcelain mug. ""ONIRI"" is a series of white porcelain cups made from the dream of a mysterious flower. ""The cups look like those dreamlike flowers I could only remember.""The mug is handmade in porcelain and is one-of-a-kind. Each piece is handmade by ""Si Jeune Montagne, "" a ceramic brand Soyoung Hyun created.""Si Jeune Montagne"" focuses on the natural elements, organisms, and landscapes with varied textures, both in their wild and domesticated aspects. All the ceramic objects she produces oscillate between sculptures and everyday objects and incorporate a haptic and visual dimension.We recommend only handwashing this mug.This product is certified as safe for use with food.Measurements:L 11 x H 10 cmShare",//yonobi.com/cdn/shop/files/IMG_1713.jpg?v=1695632708
Léon Serre Large unique Raku Vase no. 14,2.2,https://yonobi.com//collections/all-products/products/copy-of-large-unique-raku-vase-no-11,"Beautiful unique vase by Léon Serre. A beautiful piece for any home.For the last 50 years, Léon has been working as a ceramist. In his work, he has been focusing on the primitive techniques of ceramic firing. Every piece is handmade and unique. Each piece is a result of his technique, which gives the pieces a variety of textures and colors achieved in part by carbonate salts.Léon's ceramics have an ethnic aspect, with a mixture of iridescent colors. He likes the contrast between the outer rough and crude touch and pearly bright inner glaze. When having water in the vase, we recommend not putting it directly on wood or any delicate surface due to the lower firing temperature; the vase can create small leaks of water over time. Measurements: 14 x 20  cmShare",//yonobi.com/cdn/shop/files/IMG_2360_0b9b224d-cbee-44b5-8ab0-488968442c0d.jpg?v=1696297772
YONOBI classes One-day evening pottery class - CPH,600,https://yonobi.com//collections/all-products/products/one-day-evening-pottery-class,"Location YŌNOBI STUDIO, Nybrogade 28 Time: 16.00 to 20.00Length: 4 hours per classPrice 675kr for 4 hours of teachingIncluded: All materials (unlimited clay and decoration slips) and firing of up to 2 items. Tea & coffee.Language: Danish, EnglishLevel BeginnerStep into our one-day workshop and immerse yourself in the art of wheel-throwing. Discover the fascinating journey from soft clay to finished ceramics as you explore various techniques, including centering, pottery wheel throwing, and trimming.Whether you're a complete beginner or have some experience, this workshop is designed for everyone. After the workshop, your creations will undergo firing and glazing, transforming them into unique pieces ready to adorn your home. Join us for a day of creativity and hands-on learning – your journey into pottery awaits! Share",//yonobi.com/cdn/shop/files/c16ec562-79ff-4d3b-8b67-9bd61ae6840a-3f3c56dc-7b68-47cb-b173-605b617c6ef8-yonobi_016_20_281_29_202_1800x1800_3b3d57dd-26ef-41ab-9501-663a086266ed.jpg?v=1718714414
