Title,Price,Link,Description,Main image,Caregory,Subcaregory
Denia centerpiece Soy Candle,65.0,https://moiandko.com/products/denia-centerpiece-soy-candle,"Update:availability. Due to high demand of Christmas orders and the big size of Denia, we can't stock Denia in our studio. If you're interested in this piece, drop us a mail and we can make it for you.Introducing Denia, probably oneour biggest candle with 20cm and 1.6kg weight! It's absolutely gorgeous, beautiful and elegant. Ideal as table centerpiece. Truly beautiful!â Description â- Handmade with 100% Natural Soy wax.- 100% Cotton wicks.- Eco-friendly and sustainable wax.- Phthalate-free and paraffin-free- Small batches âMore âWe use a high quality soy wax with a minor signs of frosting, probably the best wax in the. market, 100% natural but please also be advised ""frosting"" may occur and this is not a fault in the candle. This is a natural effect of using 100% soy wax and does not, in any way, impact the performance of your candle. âDimensions âWeight: 1600grMaterial: 100% ecosoy waxColor: CreamySize: 20cm x 20cm x 8cm",https://moiandko.com/cdn/shop/products/center_piece_soy_candle_denia3.jpg?v=1662364968&width=1090,candles,soy candles-decorative
Big Rainbow Candle,21.0,https://moiandko.com/products/big-rainbow-candle,"Stylish and modern soy wax candle with an unique shape! The big brother of our rainbow candle is a beautiful accessory to decorate any corner of the house.- Eco-soy wax- Unscented- Hand-made with love which means may come with little imperfections or slightly differ from the picture displayedAdditional informationDimensionsWeight: 320grMaterial: 100% eco soy waxColor: Creamy, nude and mustardSize: 14cm x 14cm",https://moiandko.com/cdn/shop/products/big_rainbow_candle_moiandko3.jpg?v=1685483300&width=1090,candles,soy candles-decorative
Rainbow Candle,12.9,https://moiandko.com/products/rainbow-candle,"A beautiful, stylish and minimalist rainbow candle. Perfect to decor the coffee table, desk or the bedroom! New trend 2023Additional informationDimensionsWeight: 215grMaterial: 100% eco soy waxColor: CreamySize: 11cm x 4cm",https://moiandko.com/cdn/shop/products/pink_rainbow_candle2.jpg?v=1657464828&width=1090,candles,soy candles-decorative
Cloud soy candles,4.0,https://moiandko.com/products/cloud-soy-candles,"New! Cloud little soy candlesare now available in our Moi and Ko candle collection!These cute little candles are available in two sizes and in two colors: our best-seller color, nude! and Ivory-cream.Handpoured with 100% eco-soy wax.They are aesthetically.... so beautiful!!!",https://moiandko.com/cdn/shop/products/cloud_candle_soy_wax.jpg?v=1662202374&width=1090,candles,soy candles-decorative
Little bubble candles,3.0,https://moiandko.com/products/color-little-bubble-candles,"The small (cute!) version of our best seller vegan soy wax bubble cube candlesCandle carePut your figure candle in a tray when use to burn them.Place your candle on a flat surface and don't leave it unattended when lit.Trim your wick in the first burn and each burn.For a correct candle flame, let it burn for almost 2 hoursKeep candles far from children and pets.Disclaimer Every single candle is handmade, so the scent and the final color may be slightly different. Due to weather temperature, your candle may come with some small white marks known as ""frosting"", a very natural effect of natural soy wax and doesn't harm the candle or its burn.Additional informationWeight: 70grunitColor: Creamy,Lime, Pink, nudeUnscentedSize:3,5cm x 3,5 cm x 3,5 cm",https://moiandko.com/cdn/shop/products/little_bubble_moiandko2.jpg?v=1644598429&width=1090,candles,soy candles-decorative
Color Soy Bubble candle,14.0,https://moiandko.com/products/blush-bubble-candle,"Light up your space with our absolutely minimalist vegan soy bubble cube candle.Inspired in the '80s thishandmade soycandleadds a chictouch to any room and looks gorgeous on any coffee table.The main part of making these candles look beautiful is the geometrical symmetry. From all the angles, yourbubble candlewould be exactly the same. Because of this symmetry, you wonât need thebubble candle holdersto make your beautiful candles stand straight; however, weâll advise you to put them in a tray when use to burn them.Presented in a kraft box, they are perfect for gifting.Made with 100% natural high-quality soy wax.Geometric symmetry that makes the candles awesomeAvailability in multiple colors and fragrancesPerfect for giving as a gift or for decoration purposesHandpouredDisclaimer Every single candle is handmade, so the scent and the final color may be slightly different. Due to weather temperature, your candle may come with some small white marks known as ""frosting"", a very natural effect of natural soy wax and doesn't harm the candle or its burn.Additional informationDimensionsWeight: 157grMaterial: 100% eco soy waxColor:Blush and deep blushSize: 6cm x 6cm x 6cm",https://moiandko.com/cdn/shop/products/blush_bubble_candle_n.jpg?v=1674821843&width=1090,candles,soy candles-decorative
Shell Candle,10.9,https://moiandko.com/products/shell-candle,"Embrace the essence of summer and the sea with our collection of stunning shell candles. These candles not only feature a beautiful design, but they also capture the spirit of the season. Hand poured with 100% eco soy wax and adorned with eco-cotton wicks, they are both sustainable and vegan. Decorate your home with these exquisite shell candles, infusing it with a touch of natural beauty and creating a serene and inviting atmosphere. Let the summer vibes and the captivating design of these candles transport you to a coastal paradise.Dimensions---------------Weight: 157grMaterial: 100% eco soy waxColors:Toffee. Beige and blushSize: 10cm x 7cm",https://moiandko.com/cdn/shop/products/soy_shell_candle_moiandko.jpg?v=1686126148&width=1090,candles,soy candles-decorative
David bust Candle,19.0,https://moiandko.com/products/david-candle,"David candleOne of the most beautiful and detailed sculptures now can be yours in a candle!âDavid of Michelangeloâ is a masterpiece of Renaissance sculpture created in marble between 1501 and 1504 by the Italian artist Michelangelo. Itâs described as âcertainly a miracle that of Michelangelo, to restore to life one who was deadâ.A symbol of youthful strength and beauty.Hand poured with 100% soy wax.Additional InformationWeight: 420grSize: 15cmx9cmColor: Creamy. Natural soy colorScent: Unscented",https://moiandko.com/cdn/shop/products/david_candle_moiandko3.jpg?v=1667751108&width=1090,candles,soy candles-decorative
Bubble candle,14.0,https://moiandko.com/products/bubble-handmade-candle,"Light up your space with our absolutely minimalist vegan soy bubble cube candle.Inspired in the '80s thishandmade soycandleadds a chictouch to any room and looks gorgeous on any coffee table.Available in multiple colorsPresented in a kraft box, they are perfect for gifting.DimensionsWeight: 157grMaterial: 100% eco soy waxColor: Creamy / BeigeUnscented / Almond blossom and HoneySize: 6cm x 6cm x 6cmReturns and refund",//moiandko.com/cdn/shop/products/both-bubble-candle2.jpg?v=1679391909&width=1090,candles,soy candles-decorative
Rainbow Decorative Candle,28.0,https://charlybodycare.com/collections/soy-candles/products/sculpted-rainbow-soy-candle,"Our elegant Rainbow Decorative Candle brings warmth and character to any room.This exquisite hand-made piece, available either unscented or in any of our best-selling candle scents",//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Classic Bubble Decorative Candle,18.0,https://charlybodycare.com/collections/soy-candles/products/cube-decorative-candle,Our elegant Classic Bubble Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Mega Bubble Decorative Candle,42.0,https://charlybodycare.com/collections/soy-candles/products/large-bubble-decorative-candle,Our elegant Mega Bubble Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Orb Set Decorative Candles,34.0,https://charlybodycare.com/collections/soy-candles/products/large-sphere-decorative-candle,Our elegant Orb Set Decorative Candles will bring warmth and character to your home or workspace. These candles are available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Twirl Decorative Candle,38.0,https://charlybodycare.com/collections/soy-candles/products/sphere-decorative-candle,Our elegant Twirl Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Tall Arch Decorative Candle,24.0,https://charlybodycare.com/collections/soy-candles/products/archway-decorative-candle,Our elegant Tall Arch Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Twisted Taper Decorative Candle,9.0,https://charlybodycare.com/collections/soy-candles/products/taper-decorative-candle,Our elegant Twisted Taper Decorative Candle will bring warmth and character to your home. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200,candles,soy candles-decorative
Velvet Lavender - Coconut and Soy wax candle,26.0,https://moiandko.com/products/velvet-lavender-coconut-and-soy-wax-candle,"Spring Collection.Introducing arelaxing sweet lavender scent in a lovely floral purple design.Tip:light the candle 2 hours before go to sleep to involve your room into a sweet relaxing lavender scent and sweet dreams! (remember toblow out the candle!)Notes:Bergamot, Eucalyptus, Velver Lavender, Cottonwood, Anise.Note: Please let the candle burn 4h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andeco-friendlycotton wicks.Candle Size220mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/products/velvet_lavender_coconut_and_soy_wax_moiandko.jpg?v=1679501409&width=600,candles,soy candles-jars
Bohemian - Coconut and Soy candle,28.0,https://moiandko.com/products/bohemian-coconut-and-soy-candle,"Spring Daisy CollectionBohemian, a gorgeous fragrance with sweetnotes of incense, Jasmine and Sandalwood.Designed with beautiful daisy flowers, this spring candle should be a must have in your collection!This candle is part of our Daisy Collection.Notes:Incense, Cinnamon, Sandalwood, Musk, Jasmine.Note: Please let the candle burn 4h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andeco-friendlycotton wicks.Every spring candle will include a tea light sample with other fragrance. :)Candle Size220mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/products/bohemian_daisy_candle_moiandko4.jpg?v=1679501893&width=600,candles,soy candles-jars
Cookie Soy Candle,28.0,https://moiandko.com/products/cookie-soy-candle,"Our best seller fragrance, mom cake and vanilla cookies, now available in the most yummy and cute candle!Notes: Honey, Vanilla, Ginger, Sweet AlmondNote: Please let the candle burn 4h the first time to let the cookies melt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan 100%soy wax andeco-friendly woodencrackling wicks.Candle Size220mlMaterialsnon-GMO Fragrance oils, 100% high quality soy wax, eco-friendly wooden crackling wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/products/cookie_soy_candle.jpg?v=1673289144&width=600,candles,soy candles-jars
Damson Plum - Candle Jar (Limited Edition),24.0,https://moiandko.com/products/damson-plum-candle-jar-limited-edition,"Immerse your space with our lovely candle with notes of Damson Plum, Rose, and Patchouli Candle. It blends fruity top notes, spiced middle notes, and an indulgent, seductive base for a sophisticated, long-lasting aroma.As a gift, receive a lovely 3D-printed heart-shaped keychain from our studio.Notes: Damson Plum, Rose And PatchouliNote: Please let the candle burn 4h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andeco-friendlycotton wicks.Candle Size220mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/files/damson_candle_valentine09.jpg?v=1705855948&width=600,candles,soy candles-jars
The Cereals - Soy Candle,26.0,https://moiandko.com/products/the-cereals-soy-candle,"Hand poured soy wax candle infused with a freshly baked sweet apple pie with a touch of cinnamon sugar scent. Designed withbeautiful cereal wax melt that melted covers the top of the candle with a beautifulmix of colors.The fragrance:Top:Granny Smith Apple, Tart StrawberryMid:Clove Bud, Cinnamon SugarBottom:Flaky Pie Crust Accord, Buttery VanillaThe candle:210mlCandle:- Soy Wax Blend- High Quality Fragrance Oils- Crystal Jar-Two cotton wicks- Vegan friendly- 40+ Hour Burn TimePerfect for bedrooms, bathrooms, and living rooms.",https://moiandko.com/cdn/shop/files/the-cereals-candle-moiandko11.jpg?v=1685199641&width=600,candles,soy candles-jars
Autumn Hearth - 120ml Candle Tin,8.5,https://moiandko.com/products/autumn-hearth-120ml-candle-tin,"Experience the warmth of Autumn with our Autumn Hearth Soy and Coconut Candle Tin. Infused with fireside notes, bergamot, spices, lavender, cedarwood, woods, and amber for a cozy and inviting ambiance.Notes:Cedarwood, Amber, Bergamot, SpicesNote: Please let the candle burn 2h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andhigh quality wooden wickCandle Size120mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/files/autum-hearth-candle-tin.jpg?v=1693569082&width=600,candles,soy candles-jars
Sweet Honey - 120ml Candle Tin,8.5,https://moiandko.com/products/sweet-honey-120ml-candle-tin,"Our sweet Honey Candle tin features a delightful combination of light sweet scents, such as almond, black vanilla and sugary honey, along with notes of sweet almond, honey, coconut and vanilla.Notes: Honey, Vanilla, Ginger, Sweet AlmondNote: Please let the candle burn 2h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andhigh quality wooden wickCandle Size120mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/files/sweet-honey-candle-tin.jpg?v=1693568811&width=600,candles,soy candles-jars
Bohemian - 120ml Candle Tin,8.5,https://moiandko.com/products/bohemian-120ml-candle-tin,"Bohemian, a gorgeous fragrance with sweetnotes of incense, Jasmine and Sandalwood.Notes:Incense, Cinnamon, Sandalwood, Musk, Jasmine.Hand Poured sin small batches withvegan blend of coconut and soy wax andhigh quality wooden wickCandle Size120mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/files/bohemian_candle_tin.jpg?v=1693568798&width=600,candles,soy candles-jars
Black Plum and Rhubarb - 120ml Candle Tin,8.5,https://moiandko.com/products/black-plum-and-rhubarb-120ml-candle-tin,"Our Black Plum & Rhubarb Candle Tinoffers an explosion of vibrant, fruity aroma that instantly transports you to a sunny day. With its sweet and invigorating scent, thiscandle will delight your senses.Notes:Blackberry,plum, Rhubarb, Peach,Note: Please let the candle burn 2h the first time to let theflowermelt properly and to avoid any wick issue. Then let it cool down and trim the wick to 1/4 for the best burning performance.Hand Poured sin small batches withvegan blend of coconut and soy wax andhigh quality wooden wickCandle Size120mlMaterialsnon-GMO Fragrance oils, 100% high quality coconut and soy wax, eco-friendly cotton wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/files/black-plum-candle-tin4.jpg?v=1693568830&width=600,candles,soy candles-jars
Frankincense and Myrrh Soy Candle - Winter Collection,25.0,https://moiandko.com/products/frankincense-and-myrrh-soy-candle-christmas-collection,"An intense and classic winter musky scent of frankincense and myrrh.Notes: Bergamot, Lavender, Frankincense, Myrrh, MuskHand Poured sin small batches withvegan 100%soy wax andeco-friendly woodencrackling wicks.Wooden wicks create an alluring crackling sound when burning for added ambiance, it's magical, creating a warm and comfortable atmosphere.Candle Size220mlMaterialsnon-GMO Fragrance oils, 100% high quality soy wax, eco-friendly wooden crackling wick, eco packaging.OriginSpainFree of GMO, preservative, alcohol,parabens,phthalateThey areVegan, cruelty-free, plastic free, sustainable",https://moiandko.com/cdn/shop/products/frankincense_myrrh5_soy_candle_moiandko.jpg?v=1670838773&width=600,candles,soy candles-jars
The Beans - American Sweet Coffee candle,29.0,https://moiandko.com/products/the-beans-american-sweet-coffee-candle,"Hand poured soy wax candle infused with asweet aroma of American coffee, perfect for Autumn Season. Designed with beautifulcoffee beans that melted covers the top of the candle with a beautiful brownlayer that imitates a real coffee.The fragrance:Top: Fresh Brewed Coffee, Star AniseMid: Cocoa Powder, Brown SugarBase: Whipped Milk, Vanilla BeanThe candle:210mlCandle:- Soy Wax Blend- High Quality Fragrance Oils- Crystal Jar-Two cotton wicks- Vegan friendly- 40+ Hour Burn TimePerfect for bedrooms, bathrooms, and living rooms.DisclaimerDue to weather and the process of making this kind of candles itself, it may have some ""wet"" spots on the bottom. It doesn't affect the lovely performance of our candle, it's just aesthetic and burns perfectly.",https://moiandko.com/cdn/shop/products/the-beans-coffee-candle-1.jpg?v=1667215235&width=600,candles,soy candles-jars
OUAT candle,24.0,https://moiandko.com/products/ouat-candle-stick-me-collection,"Hand poured soy wax candle infused with alovely aroma of old leather books, patchouli, pepper andNight Blooming Jasmine.The fragrance:Once upon a time teleports you to the world of books, of magic, with an intense yet soft fragrance, sweet and spicy, with notes of old leather books, patchouli and pepper.Wooden wicks create an alluring crackling sound when burning for added ambianceThe candle:210mlCandle:- Soy and coconut Wax Blend- High Quality Fragrance Oils- Crystal Jar- Naturalwooden wick- Vegan friendly- 40+ Hour Burn Time",https://moiandko.com/cdn/shop/files/new_scented_candle_ouat_moiandko.jpg?v=1683660403&width=600,candles,soy candles-jars
Hand Made Ribbed Candle in Taupe,11.0,https://katieleamon.com/p/hand-made-ribbed-candle-in-taupe/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time  just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/Tezza-9241-e1700482667837-600x600.jpg,candles,soy candles-jars
